Publication Year,Title,keywords,Stakeholder,Country
2024,Subject Dependent Speech Verification Approach for Assistive Special Education,"Speech verification, Special education, Deep learning, Convolutional neural Networks, Speech recognition",teacher,Turkey
2023,Person-Dependent Handwriting Verification for Special Education Using Deep Learning,"Special education, deep learning, convolutional neural network, handwriting verification, handwriting digit verification, person-dependent training, handwriting recognition",teacher,Turkey
2025,Quality Evaluation of Integrated Distance Course for Special Education Based on Group Decision-Making Algorithm,"Group decision-making, Integrated distance course, Quality evaluation, Indicator system, Cluster, Collective preference",teacher,China
2020,Feature Selection for UK Disabled Students' Engagement Post Higher Education: A Machine Learning Approach for a Predictive Employment Model,"Disability, feature selection, job predictors, machine learning, MALSEND, predictive model, special educational needs",government,UK
2025,Application of AI-Assisted Adaptive Learning System in Special Education,"Artificial intelligenc, Adaptive learning system, Special education",student,China
2019,Towards Adaptive Multimedia System for Assisting Children with Arabic Learning Difficulties,"Learning, Assistive Technology, Multimedia Content, Knowledge Extraction, Semantic Analysis, Natural Language Processing",teacher,Qatar
2022,Understanding the learning of disabled students: An exploration of machine learning approaches,"Learning Analytics, Learning Disability, Demographic, Prediction, Adaboost, Random Forest, kNN, Machine Learning",government,Australia
2023,A Reading Comprehension Interface for Students with Learning Disorders,"Human-centered computing, Accessibility systems and tools, User studies, Computing methodologies, Information extraction",student,Italy
2024,Board 46: Integrating AI in Higher-Education Protocol for a Pilot Study with'SAMCares An Adaptive Learning Hub',"SAMCares, Large Language Model, Adaptive Learning, Interactive Learning, Retriever Augmented Generation",student,USA
2025,AI-Driven Innovation Using Multimodal and Personalized Adaptive Education for Students With Special Needs,"Adaptive learning paths, students with special needs, neural networks, convolutional neural networks, attention mechanisms, long short-term memory, gated recurrent unit, transformer models, explainable AI",student,Saudi Arabia
2023,Predicting Behavior Change in Students With Special Education Needs Using Multimodal Learning Analytics,"Applied behavior analysis (ABA), multimodal learning analytics (MMLA), predictive modeling, special education needs (SEN)",teacher,Hong Kong
2024,Understanding the role of study strategies and learning disabilities on student academic performance to enhance educational approaches: A proposal using artificial intelligence,"Study strategies, Learning limitation, potential Educational approach",teacher,Brazil
2020,Promoting inclusive open education: A holistic approach towards a novel accessible oer recommender system,"Open Educational Resources, OER,  Accessibility, Recommendation systems, People with disabilities,  PWD, OER repositories, Inclusive education, Open education",student,Tunisia
2024,Enabling secure and inclusive education for students with disabilities and ensuring data through machine learning,"Online learning, Quantitative Data, Highly Secure Blockchain-Based Compressive Sensing (HSBCS) system, Authentication Methods, personal records security, emerging technologies in education",student,Saudi Arabia
2025,RECMOOC4ALL: Bridging the Accessibility Gap in MOOCs,"MOOCs, Recommender system, adaptive Learning, Accessibility, Inclusivity, AI in education",student,Tunisia
2023,Service Selection Using an Ensemble Meta-Learning Classifier for Students with Disabilities,"service selection, disabled students, learners with disabilities, quality of service, ensemble method, deep learning, assistive technology, Internet of Things",student,Saudi Arabia
