Publication Year,Title,Keywords,Stakeholder,Country
2021,An Intelligent Math E-Tutoring System for Students with Specific Learning Disabilities,"K-12 Education, Special Education, Intelligent Tutoring System, Applied computing, Education, E-learning, Computers in other domains, Personal computers and PC applications, Computer games, Human-centered computing, Accessibility, Accessibility technologies",student,USA
2019,"The Hope: An Interactive Mobile Solution to Overcome the Writing, Reading and Speaking Weaknesses of Dyslexia","Dyslexia, Speech Therapy, Image Processing, Gesture recognition, Mobile solution, Voice recognition, Reading and speaking weaknesses",student,Sri Lanka
2019,Education using Virtual Reality for students with learning disabilities,"VISER, Dyslexia, VR, WebVR, NLP, ATV",student,India
2022,A Proposed Machine Learning Based Approach to Support Students with Learning Difficulties in The Post-Pandemic Norm,"Learning and Teaching, Machine Learning, Learning Difficulties, Students, Post-Pandemic",student,UK
2020,DYS-I-CAN: An Aid for the Dyslexic to improve the skills using Mobile Application,"Mobile Application, Dyslexia, Machine learning",student,India
2023,Early Detection and Support for Learning Disabilities: A Machine Learning Approach Empowering Educators,"learning disabilities, machine learning, feature engineering, decision tree, early detection, personalized support, inclusive learning environments",student,India
2025,"Hybrid AI Framework for Dyslexia Detection Using MFCC Features, Optimized SVM, and Reinforcement-Based Assistive Learning","Dyslexia diagnosis, Advanced machine learning, Edge computing with Raspberry Pi, SVM classifiers, Adaptive reinforcement learning",student,India
2023,Text to Audio Listener Tool in Tamil Language for Dyslexics,"Dyslexia, Text-to-Speech Technology, Literacy Development, Inclusive Education, Gamification",student,India
2021,Estimating Children Engagement Interacting with Robots in Special Education Using Machine Learning,,teacher,Greece
2024,Use of recommendation models to provide support to  dyslexic students,"Specific Learning Disorders, Dyslexia, Artificial Intelligence,  Machine Learning, Recommendation Systems, Education",student,Italy
2022,RALF: an adaptive reinforcement learning framework for teaching dyslexic students,"Educational multimedia, Integrated communication, Intelligent tutoring system, Orthographic knowledge, Pandemic crisis",student,Iran
2019,Audio Signal Recognition Based on Intervals Numbers (INs) Classification Techniques,"Speech recognition, Human-machine interaction, Intervals¡¯ numbers (IN)",student,Greece
2025,Inclusive Education in Rural Settings: Leveraging Technology for Improved Math Learning Outcomes among Students with Disabilities,"instructional technology, inclusive education, math, interleaved practice format, ChatGPT",teacher,USA
2025,ReadSmart: Generative AI and Augmented Reality Solution for Supporting Students with Dyslexia Learning Disabilities,"Dyslexia,  Learning disabilities, Augmented reality,  Generative AI.   Educational technology",student,UK
2025,Generation of Thai Spelling Distributions for Reading through the improvement of Natural Language Processing Techniques,"Thai spelling distributions for reading, formatting, Natural Language Processing (NLP), Customized dictionary, Normalized Levensthein Distance (NLD), Thai word decomposition",student,Thailand
2021,Intelligent Games for Learning and the Remediation of Dyslexia: Using Automaticity Principles,,student,France
2023,Ai-assisted models for dyslexia and dysgraphia: Revolutionizing language learning for children,,student,India
2025,Got It! Prompting Readability Using ChatGPT to Enhance Academic Texts for Diverse Learning Needs,"Applied computing, Applied computing Education, Applied computing Document management and text processing, Computing methodologies, Artificial intelligence",teacher,Sweden
2024,Nexia Tutor: An AI-Powered Language Personalized Learning System for Kids with Dyslexia and Reading Challenges,"Dyslexia, ITS, Personalized Tutoring, NLP, BERT, Random Forest",student,Egypt
2023,A multi-source graph database to showcase a recommender system for dyslexic students,"Dyslexia, Graph Database Modeling, Recommendation System, Ordinal Classification",student,France
2022,Educational Robots and Their Control Interfaces: How Can We Make Them More Accessible for Special Education?,"Access to education and learning, Assistive Robots, Design for All best practice, Design for Children with and without disabilities, ASC, Learning difficulties, Learning disabilities, educational robots",student,UK
2022,CollectiAR: Computer Vision-Based Word Hunt for Children with Dyslexia,"Educational Games, Special Education, Dyslexia, Computer Vision, Augmented Reality, Applied computing, Computer games, Social and professional topics, People with disabilities",student,China
2024,GestuLearn: Hand Tracking and Gesture Recognition Technology for Assistive Teaching in Special Education,"assistive technology, students with disabilities, deaf, mute, learning disabilities, assistive teaching, computer vision, real-time hand detection and tracking, gesture recognition, customized programming, machine learning",student,Philippines
2024,A Conversational AI Bot for Efficient Learning: A Prototypical Design,"Conversational systems, artificial intelligence, adaptive learning, severely challenged learners",student,Sweden
2024,Self-adaptive Learning Algorithm as a Tool for the Development and Strengthening of the Dyslexic Student's Skills in the Study of Musical Composition,"Artificial intelligence, Dyslexia, Educational technology, Hidden  Markov Model, Melodic harmonization",student,Italy
2024,"AI4LA: An Intelligent Chatbot for Supporting Students with Dyslexia, Based on Generative AI","Dyslexia, Intelligent Chatbot, LLM",student,Italy
2025,Dishari: A Novel Gesture-Based Educational Application for Specially Challenged People,"Hand Gesture Recognition, Generative AI, Inclusive  Education, Machine Learning, Computer Vision, MediaPipe,  Accessibility, Sign Language, Educational Technology",student,USA
2019,An innovative approach to involve students with learning disabilities in intelligent learning systems,"Healthcare education, Information and Communication Technology (ICT), Specific Learning Disabilities (SLDs), Intelligent Tutoring System (ITS), User experience, Learner Model (LM)",student,Morocco
2023,Sankalpa - Interactive Digital Learning Platform to Enrich Students with Special Needs,"Dyscalculia, Probability identification, skill prediction, Image processing, voice enabled chat",student,Sri Lanka
2024,"CHAT (Child Helper and Assistant Tool): An AI-Based Educational Tool for Supporting Neurodiverse Children with Autism, Dyscalculia, and DSA","ChatGPT, artificial intelligence, special needs, education, therapy, autism, dyscalculia, learning support, inclusive education, personalized help",student,Italy
2021,Real-Time Assistive Reader Pen for Arabic Language,"Human-centered computing, Accessibility, Computer systems organization, Embedded and cyber-physical systems, Embedded systems, Embedded software, Arabic language, assistive embedded systems, optical character recognition, reader pen, real-time systems, text-to-speech",student,Jordan
2023,Interactive Multimodal Learning: Towards Using Pedagogical Agents for Inclusive Education,"Human-Computer Interaction HCI, Inclusive education, machine learning, multimodal pedagogical agent, sensory disability, Graphical User Interface (GUI)",student,Ireland
2022,Intelligent Tutoring System in Education for Disabled Learners Using Human-Computer Interaction and Augmented Reality,,student,India
2023,Adaptive Learning and Correlative Assessment of Differential Usage Patterns for Students with-or-without Learning Disabilities via Learning Analytics,"Computing methodologies, Machine learning, Information systems, Web data description languages, Learning disability, correlation analysis, multiple attempt analysis, multimodal analysis",student,India
2024,An intelligent HCI based tutoring system for child-centric learning environment,"Special Education, Learning Disabilities, Analytical Hierarchical Process, Intelligent Tutoring System",teacher,India
2021,A Technology for Assisting Literacy Development in Adults with Dyslexia and Illiterate Second Language Learners,"Dyslexia, Language learning, Second language",student,Italy
2024,Cognitive Empowerment: Dyslexic Reading and Learning Support System,"Dyslexia, Optical Character Recognition (OCR), language correction, language enhancement, accessibility, userfriendly design, digital communication, learning support",student,India
2023,Ganitha Piyasa: Effective Lesson Delivery Method for Graphical Dyscalculia Students,"Dyscalculia, Graphical Dyscalculia, Mobile application, lesson delivery app",student,Sri Lanka
2025,Improving Text Readability to Support Student Comprehension and Learning: An LLM-Powered Approach,,student,Sweden
2024,ARTIS: a digital interface to promote the rehabiliatation of text comprehension difficulties through Artificial Intelligence,"Natural Language Processing, Text comprehension, Language and learning disorders, Speech and Language Therapy",student,Italy
2025,LexiEase AI : An AI Powered Dyslexic Support System,"DeepSpeech, DistilBERT, Personalized Learning,, Document Simplification, Mind Map Generation, Writing Assistance",student,India
2025,Personalized Educational Assistant for Students with Learning Disabilities,"Learning Disabilities, Personalized Education, Operating Systems, Real-Time Processing, Distraction detection, Speech Processing",student,India
2024,A machine learning-based classification model to support university students with dyslexia with personalized tools and strategies,,student,Italy
2019,The Use of NN to Detect Learning Styles of Children with Learning Disabilities in E-Learning System,"Learning disabilities, VARK model, Dyslexia, Learning style, Artificial neural network",teacher,Morocco
