Publication Year,Title,Keywords,Stakeholder,Country
2018,Development of a Software Package Designed to Support Distance Education for Disabled People,"recognition; sign language, communication, smart education, kNN, SVM, logistic regression",student,Russia
2024,SynapSign: An Advanced Machine Learning Framework for American Sign Language Recognition Utilizing a Novel Landmark-Based Dataset,"Hearing Impairment, Interaction System, Sign Language, Random Forest, XGBoost, Deep Neural Network (DNN), Hand Gesture Recognition, Machine Learning",student,Turkey
2024,SIGNIFY: Leveraging Machine Learning and Gesture Recognition for Sign Language Teaching Through a Serious Game,"hand sign alphabet, social inclusion, machine learning, gesture recognition, gamification, serious game",student,Italy
2023,"Interactive, Visual-Learning based Tool for Hearing Impaired Children to Improve Language and Cognitive Skills","Hearing impaired children, Learning tool, Language development, Cognitive development. NPL, Object detection, Lip movement analysis, Regression models",student,Sri Lanka
2024,Design and Development of Teaching and Learning Tool Using Sign Language Translator to Enhance the Learning Skills for Students With Hearing and Verbal Impairment,,student,India
2024,SmartSignQuiz A Colour-Based Interactive Quiz System for Hard to Talk and Hard to Hear Students,"Facial Recognition, Colour Detection, Computer Vision",student,India
2024,Sign to Text: Automated Sign Language Interpretation using LSTM and Computer Vision,"Real-time Sign Language Recognition, Gesture Recognition Systems, Mediapipe, Long Short-Term Memory (LSTM) Networks, Deep Learning, Sign Language Interpretation, Human-Computer Interaction (HCI)",student,India
2024,Real-time mobile application for Arabic sign alphabet recognition using pre-trained CNN,"Sign alphabet Arabic recognition, EfficientNet B7, Real-time, Learning application",student,Algeria
2019,Intelligent System for the Learning of Sign Language Based on Artificial Neural Networks,"CSCL, Artificial neural networks, Pattern recognition, Leap Motion",student,Ecuador
2021,Assistive Technology for Hearing-Impaired and Deaf Students Utilizing Augmented Reality,Assistive technology; Augmented Reality; Deaf; Education; Hearing-Impairment; Machine Learning,student,Malaysia
2024,Explainable Machine Learning Prediction for the Academic Performance of Deaf Scholars,"Artificial intelligence, deaf education, explainability, machine learning",government,India
2025,Smart Computing for Communication: Real-Time Sign Language Translation for Educational Accessibility of Hard-of-Hearing Individuals,"Natural Language Processing (NLP), Smart Computing, Sign Language Recognition, Inclusive Education, Real-Time Communication, Educational Accessibility, Hard-ofHearing Children",student,India
