Publication Year,Title,Keywords,Stakeholder,Country
2023,End-to-End Solution for Braille-To-Chinese,"Braille, Braille Education, Object Detection, Chinese Braille, Braille Translate",teacher,China
2022,Tactile Audio Responsive Intelligent System,"Assistive technology, audio feedback, computer vision, fingertip detection, tactile graphics, visually impaired, deep learning, YOLOv3",student,UK
2025,Towards Inclusive Education: Multimodal Classification of?Textbook Images for?Accessibility,"Educational Technology, Textbook Image Classification, Inclusive Education, Adaptive Learning, Multimodal Classification",teacher,India
2025,AI-generated tactile graphics for visually impaired children: A usability study of a multimodal educational product,"Human computer interaction (HCL) Interaction design Artificial intelligence Accessibility, Visual Impairments Children, Large Language Model, DALLE-3, Cognitive Education, Multimodal Perception",student,China
2023,A Feasibility Study of the Kasi Learning System to Support Independent Use of STEM Diagrams by Students with Visual Impairments,"blindness, education, low vision, research, STEM, technology, visual impairment",student,USA
2020,An artificial intelligence tool for accessible science education,"Artificial Intelligence, Virtual Assistant, Accessible Science Education",student,USA
2019,An intelligent and interactive interface to support symmetrical collaborative educational writing among visually impaired and sighted users,"collaborative environment, human-computer interaction, speech-based application, educational technology, coauthoring for blinds",student,Pakistan
2021,Design and Implementation of a Prototype Based in 2D Blocks with Multiple Shapes for Teaching Computer Programming to Visually Impaired Children,"Visual Impairment, Computer Vision, Image Processing, Arduino, Innovation Education, TICs Education",student,Peru
2019,Information and technology support for the training of visually impaired people,"Ukrainian technical text processing, visual impairment, syntax tree, sounding, automation equipped working place, DAISY format, markup language MathML",student,Ukraine
2024,Tactile Device for Braille-Based Communication in Inclusive Education,"braille, inclusive education, tactile communication, text-to-braille, image processing",student,Sri Lanka
2025,Dots: A Frugal Refreshable Tactile Dot Grid for Students with Visual Impairments,"Assistive Technology, Visual Impairment, Tactile  Display, Inclusive STEM Education, Real-Time Tactile Feedback",student,India
2025,Multilingual Braille and Voice Translation Model for Visually Impaired Learners,"Multilingual Braille Translation, Voice Translation, Visually Impaired Learners, Accessibility, MQTT Protocol, Natural Language Processing, IoT",student,India
2024,Talktile: Accessible Educational Tool to Augment Independent Learning for Students with BVI,"Accessible Education, Visual Impairment ¡¤ Inclusive  Design, Voice User Interface, Audio-AR, Machine Learning",student,India
2019,EULER - Mathematical Editing by Voice Input for People with Visual Impairment,"Voice input, Human Computer Interaction, Mathematical Editor, Visual Disability, Neural networks",student,Costa Rica
2025,An automatic image description generation technology and application for visually impaired individuals,"Automatic image description, deep learning, convolutional neural networks, attention mechanism, assistive technology for the visually impaired",student,China
2025,Sight Sense: Enhancing Independence with AI- and ML-Driven Smart Glasses for the Blind Community,"Smart glasses, Physical disabilities and visual impairments,  Ultrasound sensors, Blind people, Artificial intelligence, Encoder¨Cdecoder",student,India
2025,A Proposed Model to Transliterate Digitalized Braille Text into Gujarati: An Aid for Visually Challenged People,"Digital text processing, Braille text, Gujarati language, Transliteration, Natural Language Processing (NLP),  Character mapping, visually impaired people",student,India
2022,Tac-Trace: A Tangible User Interface-Based Solution for Teaching Shape Concepts to Visually Impaired Children,"3-D printing, assistive technologies, blindness, children, education, geometry, shape perception, tangible user interfaces, teachers, visual impairment",student,Saudi Arabia
2024,A Multilingual Handwriting Learning System for Visually Impaired People,"Visually impaired, voice-over guide, machine learning, assistive technology",student,Bangladesh
2023,Framework for Voice-controlled AI Teaching Assistant for Specially-abled,"Natural Language Processing, E-Learning Portal, Voice-Based, Specially-abled, Inclusive Society",student,India
2025,Leveraging MOOCs for Individuals with Visual Impairments,"Inclusive education, Visual impairment, Accessibility, MOOCs, Digital learning",student,Portugal
2024,Enhancing Accessibility: Automated Tactile Graphics Generation for Individuals with Visual Impairments,"accessibility, visual impairment, tactile graphics, generative model, machine learning, artificial intelligence",teacher,Ukraine
2024,Artificial Intelligence-Driven Text-to-Tactile Graphics Generation for Visual Impaired People,"Artificial intelligence, tactile graphics, visual impairment, natural language processing, model, machine learning",teacher,Ukraine
2024,Educational Dialogue Systems for Visually Impaired Students: Introducing a Task-Oriented User-Agent Corpus,"conversational agents, education, accessibility, visual impairment",student,Italy
2024,Enhancing Learning Experiences For Visually Impaired Students With AI and Machine Learning on Smart Device,,student,Sri Lanka
2024,Enhancing STEM Education Accessibility for Blind and Low Vision Students,"assistive technology, STEM education, object detection, visually impaired, low vision, blind, YOLOv8, Google Colab",student,Sri Lanka
2021,SlAide2Voice: A new educational tool for students with visual disabilities,"Distance Learning, Blindness aid, Artificial Intelligence",student,Italy
2023,"Development of an autonomous system based on computer vision and open software-hardware platforms, applied to an educational game for inclusive basic education","computer vision, Optical Character Recognition, OpenCV, image processing, inclusive education",student,Ecuador
2018,A machine vision system applied to the teaching of mathematics for blind or visually impaired children,"machine vision, pattern matching, educational board game, visual impairment, blind, LabVIEW",student,Ecuador
2025,MathVision: An Accessible Intelligent Agent for Visually Impaired People to Understand Mathematical Equations,"Mathematical equations, fine-tuned, YOLO v7, convolution neural network, attention mechanism, long short term memory, neural text to speech, technological development",student,Pakistan
2025,Encouraging Vision-Impaired Students to Learn Information Technology Using an e-Learning Platform,"Blind, Vision impaired, e-Learning platform, Machine learning",student,Sri Lanka
2020,Design of Learning Application using Trivia Method based on Google Assistant for Vision Impairment Disability,"virtual learning, disability, blindness, Google Assistant, artificial intelligence",student,Indonesia
2021,Real-Time Assistive Reader Pen for Arabic Language,"Human-centered computing, Accessibility, Computer systems organization, Embedded and cyber-physical systems, Embedded systems, Embedded software, Arabic language, assistive embedded systems, optical character recognition, reader pen, real-time systems, text-to-speech",student,Jordan
2024,Accessible interactive learning of mathematical expressions for school students with visual disabilities,"Inclusive learning, Math accessibility, Math problem solving, Navigation, Visual disability, Human-Computer Interaction, Algorithms and Analysis of Algorithms, Computer Education",student,Pakistan
2025,Empowering Individuals With Visual Impairment: A Digital Braille Solution for Learning the Urdu Language,"Braille, visual impairment, accessibility, human computer interaction in education, Urdu language tutor",student,Pakistan
2021,A multimodal platform to teach mathematics to students with vision-impairment,"Vision-impairment, Accessibility, High school  mathematics, Natural Language Processing (NLP) with Python, Natural Language Toolkit (NLTK)",student,USA
2025,Kanak: Automating the Generation of Accessible STEM Materials for Blind and Low-vision Students,"Human-centered computing, Empirical studies in HCI, Empirical studies in Accessibility, Accessibility, STEM Education, Blind and Low-Vision (BLV), HumanAI Collaboration, Generative AI, Tactile Graphics, Inclusive Design",teacher,USA
2025,StemA11y: An AI-Driven Mobile System for  Non-Visual and Multisensory Access to STEM  Content,"Blind and Low-Vision Learners, Inclusive STEM Education, AI for Social Good, Multisensory Interfaces, NonVisual Interaction, Assistive Technology, Mobile HCI, Human-Centered AI, Tactile and Graphic Accessibility",teacher,USA
2024,An Educational Dialogue System for Visually Impaired People,"Assistive technologies, chatbots, educational technology, natural language processing",student,Italy
2024,Novagraphs: Towards an accessible educational-oriented dialogue system,"dialogue systems, inclusive education, accessibility, visual impairment",student,Italy
