Publication Year,Title,Keywords,Stakeholder,Country
2024,Adaptive Learning Tool to Enhance Educational Outcomes for Students with Inattentive Attention Deficit Hyperactivity Disorder (ADHD),"ADHD, adaptive learning, personalized education, memory retention, engagement detection",student,Sri Lanka
2024,Towards Designing a Low-Cost Humanoid Robot with Flex Sensors-Based Movement*,,student,Ireland
2022,Towards Interpretable Machine Learning Models to Aid the Academic Performance of Children and Adolescents with Attention-Deficit/Hyperactivity Disorder,"Interpretability, Machine learning, SHAP, Academic performance, School performance , ADHD, Children, Adolescents",teacher,Brazil
2023,EEG Spectral Analysis for Inattention Detection in Academic Domain,"Attention deficit, Academic performance, Engineering education, EEG, Machine Learning",teacher,USA
2024,Adaptive Learning App for ADHD in Lima Schools,"ADHD, Educational method, children, student, mindfulness, random forest, machine learning, Lima",student,Peru
2024,Continuous Recognition of Teachers' Hand Signals for Students with Attention Deficits,"continuous recognition, hand signals, MediaPipe, landmarks, skeleton, attention deficits, inclusive education",student,Taiwan
2021,Assessment of a Robotic Assistant for Supporting Homework Activities of Children with ADHD,"ADHD, ambient assisted living, ambient intelligence, educational robots, humanÿrobot interaction, the Internet of Things, intelligent robots, mobile robots, programming environments, robotic assistants, smart-home, therapeutic robot",student,Spain
2025,Decoding Attention in Children with Attention Deficit Hyperactivity Disorder through Multimodal Analysis for Digital Learning,"ADHD, Digital Learning Platforms, Multimodal Analysis, Adaptive Learning Interfaces, Educational Technology",teacher,India
2025,Improving Text Readability to Support Student Comprehension and Learning: An LLM-Powered Approach,,student,Sweden
2025,Exploring LLM Agents as Interactive Mind Map Creators Tailored for Students with ADHD,"ADHD Learning Support, Generative User Interface, Large Lan guage Models, Generative AI, Inclusive Technologies, Human-centered computing, Accessibility systems and tools, Interactive systems and tools",student,UK
