Publication Year,Title,Keywords,Stakeholder,Country
2024,New Proposed Solution for Speech Recognition without Labeled Data: Tutoring System for Children with Autism Spectrum Disorder,"autism spectrum disorder (ASD), arabic speech recognition, generative adversarial networks, MelGAN-VC generators, wav2vec",student,Algeria
2024,Intelligent Recommendation for Personalized Educational Intervention for Children with Autism,"autism intervention, intelligent recommendation, graph neural network, intervention game recommendation",teacher,China
2025,AI-Driven Gamified Intervention Models for Autism Education Across Developmental Stages,"Applied computing, Education, Interactive learning environments, Autism, AI-driven education, gamification, adaptive learning, socialemotional development",student,China
2024,Leveraging Machine Learning to Identify Effective Teaching Strategies for Children With Autism Spectrum Disorder,"Autism Spectrum Disorder, Machine Learning, ASD, toddlers, Special education, teaching methods, Autism",teacher,USA
2023,Using Deep Learning and Native Mobile App to Assist Autistic Students' Educational Experience,"Special Education, Autism, Deep Reinforcement Learning, Behaviour Intervention, Mobile Application",student,UAE
2019,An Augmented Reality-Based Word-Learning Mobile Application for Children with Autism to Support Learning Anywhere and Anytime: Object Recognition Based on Deep Learning,"Autism, TensorFlow, Deep learning, Word-learning, Augmented reality, China, Children",student,China
2019,Towards Automatic Engagement Recognition of Autistic Children in a Machine Learning Approach,"autism, action recognition, facial expression recognition",teacher,China
2019,An intelligent lego tutoring system for children with autism spectrum disorder,"LEGO therapy, intelligent tutoring system, autism, children, Human-centered computing, Accessibility systems and tools, Computing methodologies, Visual inspection, Applied computing, Computer-assisted instruction",teacher,China
2022,Visual Metrics for Educational Videogames Linked to Socially Assistive Robots in an Inclusive Education Framework,"Autism, Gamification, Teaching-Learning, Human-RobotGame, ASD, Educational Digital Games, Usability",teacher,Ecuador
2023,Using Deep Learning to Track Representational Flexibility Development of Children with Autism in a Virtual World,"virtual/augmented reality, machine learning, artificial neural networks, computers for special needs",teacher,USA
2022,Education and Analysis of Autistic Patients Using Machine Learning,"Machine learning, Software, Autism Disorder, Educational therapy",student,India
2023,A Novel Approach to Predict the Early Childhood Special Education Learning Skills of Autistic Children Using Ensemble Machine Learning,"Learning Disabilities, Diagnosis, ASD, Multinomial NB, Logistic Regression (LR) and SVM",teacher,Peru
2020,An Intelligent E-Learning System for Autistic Children: Multi-Agent Architecture,"Multi-agent architecture, E-learning, Intelligent learning system, Affective computing, Autism",student,Morocco
2020,Gamified Smart Mirror to Leverage Autistic Education - Aliza,"Aliza, smart mirror, Convolutional Neural Network (CNN), emotion detection, pre-writing, Autism Spectrum Disorder (ASD), Deep Learning",student,Sri Lanka
2024,Smart Autism Spectrum Disorder Learning System Based on Remote Edge Healthcare Clinics and Internet of Medical Things,"autism disability, autism applications, offloading, scheduling, training, deep convolutional neural network, long short-term memory, smartwatches, mobile and edge nodes",student,Iraq
2019,Audio Signal Recognition Based on Intervals?¡® Numbers (INs) Classification Techniques,"Speech recognition, Human-machine interaction, Intervals£ª numbers (IN)",student,Greece
2021,An Artificial Intelligence Approach for Selecting Effective Teacher Communication Strategies in Autism Education,,teacher,UK
2025,Creating a Dataset of Autistic Individuals to Recommend Evidence-Based Practices through Generative Artificial Intelligence,"autism, artificial intelligence, machine learning, evidence-based practice",student,USA
