Publication Year,Title,Keywords,Stakeholder,Country
2021,WLA4ND: a Wearable Dataset of Learning Activities for Young Adults with Neurodiversity to Provide Support in Education,"Datasets, Neurodiversity, Wearable Sensors, Smartwatches, Ubiquitous Computing, Inclusive Education, Classification",teacher,USA
2025,Towards Inclusive Education: Multimodal Classification of Textbook Images for Accessibility,"Educational Technology, Textbook Image Classification, Inclusive Education, Adaptive Learning, Multimodal Classification",teacher,India
2020,Using Machine Learning Advances to Unravel Patterns in Subject Areas and Performances of University Students with Special Educational Needs and Disabilities (MALSEND): A Conceptual Approach,"MALSEND, machine learning, special educational needs, performance, unsupervised learning",government,UK
2025,VR Infusion - A VR Development for Neurodevelopmental Students,"Virtual Reality (VR),Artificial Intelligence (AI,)Neurodiverse Learning, Immersive Education, Adaptive Learning, Multisensory Learning, VR Glasses, AI-Powered App, Real-Time Synchronization, VMASS WiFi, 3D Learning Environment, Interactive Education, Cognitive Development, Personalized Learning, Assistive Technology, Inclusion in Education, EduTech Innovation",student,India
2019,SIMROAA Multi-Agent Recommendation System for Recommending Accessible Learning Objects,"Students with Disabilities, Accessible Learning Objects, Multi-Agent System",teacher,Brazil
2025,Decision Trees as a Tool for Promoting Inclusion and Diversity in Adaptive Education,"adaptive education, Smart Learning Platforms, educational innovation, higher education, decision trees, inclusion and diversity",student,Mexico
2024,Educational Support System for Children with Developmental Disabilities through Offline Large Language Models and Retrieval-Augmented Generation,"developmental disabilities, collaborative support, individualized educational support, Large Language Models (LLMs), Retrieval-Augmented Generation (RAG)",teacher,Japan
2020,Towards ai-based interactive game intervention to monitor concentration levels in children with attention deficit,"Technology for educational therapy, children with attention deficit, BCI, AI-based games, machine learning",student,UK
2020,Using Machine Learning to Help Students with Learning Disabilities Learn,,student,India
2021,AsiRo-|им: A Multi-purpose Robotic Assistant for Educational Inclusion of Children with Multiple Disabilities,"Robotic assistant, Equalization, Microcontroller, Image processing, Segmentation, Computer Vision",student,Ecuador
