Publication Year,Title,Keywords,Stakeholder,Country
2019,iLEAP: A human-AI teaming based mobile language learning solution for dual language learners in early and special educations,"Dual Language Learners, Mobile Learning, Human-AI Teaming, Language Intelligibility Assessment, Mobile Cloud Computing",student,USA
2024,Realistic Lip Synchronization Using Deep Learning Techniques for Speech Generation,"Optical Character Recognition (OCR), Image Processing, Text Extraction, Text-to-Speech Synthesis, Wave2Lip Synchronization, Natural Language Processing (NLP)",student,India
2024,A Multilingual Handwriting Learning System for Visually Impaired People,"Visually impaired, voice-over guide, machine learning, assistive technology",student,Bangladesh
2025,Cross-Lingual Pre-Trained Models for Chinese-English QA Systems,"Grammatical error correction, BERT models, Second language writing, Natural language processing, Adaptive learning",student,Australia
2025,Overcoming Barriers: The Potential of AI Digital Textbooks in Multicultural Middle School Education,"AI digital textbooks, multicultural education, academic achievement, adaptive learning tools, middle school student",student,Republic of Korea
2024,BuddyBot: AI Powered Chatbot for Enhancing English Language Learning,"English Language Learning, Artificial Intelligence Chatbot, OpenAI GPT-2, Google Flan-T5, Natural Language Processing (NLP), SDG4",student,India
2024,SynthoTranslate: Multimodal Knowledge Assimilation Tool for Overcoming Auditory Barriers and Bridging Language Barriers,"Multilingual Translation, Voice Cloning, Indian Sign Language (ISL), Video Dubbing and Subtitling",student,India
2018,Developing a Prototype to Translate Text and Speech to Pakistan Sign Language with Bilingual Subtitles: A Framework,"sign language, Pakistan Sign Language, deaf, hard of hearing, information and communication technology",student,Pakistan
2021,A Technology for Assisting Literacy Development in Adults with Dyslexia and Illiterate Second Language Learners,"Dyslexia, Language learning, Second language",student,Italy
2022,Enhancing Adaptive Teaching of Reading Skills Using Digital Technologies: The LATILL Project,"foreign language, German, Open Education, Natural Language Processing, knowledge management ecosystem",teacher,Spain
